id,model,code,name,user_type_id,user_type_id_exid,reconcile,chart_template_id
yto_chart1001,account.account.template,1001,现金,银行和现金,account.data_account_type_liquidity,FALSE,l10n_chart_china_yto
yto_chart1002,account.account.template,1002,银行存款,银行和现金,account.data_account_type_liquidity,FALSE,l10n_chart_china_yto
yto_chart1002_001,account.account.template,1002.001,银行存款_存款,银行和现金,account.data_account_type_liquidity,FALSE,l10n_chart_china_yto
yto_chart1002_001_001,account.account.template,1002.001.001,银行存款_存款_财务公司,银行和现金,account.data_account_type_liquidity,FALSE,l10n_chart_china_yto
yto_chart1002_001_002,account.account.template,1002.001.002,银行存款_存款_中国建设银行,银行和现金,account.data_account_type_liquidity,FALSE,l10n_chart_china_yto
yto_chart1002_001_003,account.account.template,1002.001.003,银行存款_存款_中国银行,银行和现金,account.data_account_type_liquidity,FALSE,l10n_chart_china_yto
yto_chart1002_001_004,account.account.template,1002.001.004,银行存款_存款_中国交通银行,银行和现金,account.data_account_type_liquidity,FALSE,l10n_chart_china_yto
yto_chart1002_001_005,account.account.template,1002.001.005,银行存款_存款_洛阳银行,银行和现金,account.data_account_type_liquidity,FALSE,l10n_chart_china_yto
yto_chart1002_001_006,account.account.template,1002.001.006,银行存款_存款_中国农业银行,银行和现金,account.data_account_type_liquidity,FALSE,l10n_chart_china_yto
yto_chart1002_001_007,account.account.template,1002.001.007,银行存款_存款_中国工商银行,银行和现金,account.data_account_type_liquidity,FALSE,l10n_chart_china_yto
yto_chart1002_001_008,account.account.template,1002.001.008,银行存款_存款_浦发银行,银行和现金,account.data_account_type_liquidity,FALSE,l10n_chart_china_yto
yto_chart1002_001_009,account.account.template,1002.001.009,银行存款_存款_中信银行,银行和现金,account.data_account_type_liquidity,FALSE,l10n_chart_china_yto
yto_chart1002_001_010,account.account.template,1002.001.010,银行存款_存款_招商银行,银行和现金,account.data_account_type_liquidity,FALSE,l10n_chart_china_yto
yto_chart1002_001_011,account.account.template,1002.001.011,银行存款_存款_兴业银行,银行和现金,account.data_account_type_liquidity,FALSE,l10n_chart_china_yto
yto_chart1002_001_012,account.account.template,1002.001.012,银行存款_存款_广发银行,银行和现金,account.data_account_type_liquidity,FALSE,l10n_chart_china_yto
yto_chart1002_001_013,account.account.template,1002.001.013,银行存款_存款_光大银行,银行和现金,account.data_account_type_liquidity,FALSE,l10n_chart_china_yto
yto_chart1002_001_014,account.account.template,1002.001.014,银行存款_存款_外币存款,银行和现金,account.data_account_type_liquidity,FALSE,l10n_chart_china_yto
